ENCODERREADING,PICK_ENCODERREADING,ANGLE,TORQUE,Message
0.593,-0.002,3971.8,1.493,WX21D69DL6K9
0.625,0,4074.5,1.494,WX21D69DLS5D
0.7,-0.007,4234.6,1.491,WX21D69DLSLS
0.715,-0.001,4237.9,1.49,WX21D69DLPVD
0.674,-0.002,4132.4,1.49,WX21D69DLUCN
0.642,0.001,4044.3,1.494,WX21D69DLKHC
0.679,0,4174.1,1.496,WX21D69DLD59
0.751,-0.002,4279.1,1.489,WX21D69DLVT1
0.726,-0.006,4263.3,1.495,WX21D69DLS8S
0.614,-0.001,4029.3,1.492,WX21D69DLF6K
0.676,-0.007,4190,1.494,WX21D69DLXAV
0.72,0,4211.8,1.494,WX21D69DLD17
0.688,-0.001,4173.6,1.494,WX21D69DL6H0
0.56,-0.002,4015,1.495,WX21D69DLSY9
0.615,-0.003,4037.8,1.496,WX21D69DLRE3
0.644,-0.001,4083.4,1.498,WX21D69DL1ST
0.738,0,4270.5,1.496,WX21D69DLX3K
0.694,0,4157.6,1.495,WX21D69DLF6T
0.723,0,4258.1,1.496,WX21D69DL1J2
0.608,0,4072.4,1.493,WX21D69DLC5A
0.817,0,3997.1,1.495,WX21D69DLZ0E
0.735,0,4260.9,1.493,WX21D69DL13R
0.641,0,4091.2,1.498,WX21D69DLDEY
0.774,0,4298.4,1.495,WX21D69DLT84
0.58,0,3951.9,1.495,WX21D69DL7X7
0.587,0,3997.2,1.495,WX21D69DLXTU
0.643,0,4098.8,1.488,WX21D69DLD53
0.692,0,4182.9,1.492,WX11D69LZNTF
1.402,0,4319.8,1.493,WX21D69DLP3L
0.629,-0.003,4075.5,1.493,WX11D69LZERU
0.654,-0.003,4092.3,1.499,WX11D69LZJUA
0.664,-0.001,4072.2,1.493,WX11D69LZNUZ
0.724,0,4250.8,1.494,WX21D69DLC5X
0.674,-0.001,4176.5,1.499,WX11D69LZU1Z
0.614,-0.001,4034.8,1.492,WX11D69LZHES
0.678,-0.005,4134.9,1.49,WX11D69LZ4CN
0.64,-0.001,4078.2,1.493,WX11D69LZJND
0.722,-0.007,4220.3,1.498,WX11D69LZ83X
0.831,-0.005,4374.6,1.498,WX11D69LZ0L5
0.906,-0.002,4126.4,1.492,WX11D69LZZS3
0.665,0,4061.9,1.494,WX11D69LZJSE
0.669,0,4106.1,1.492,WX11D69LZ6Z4
0.729,-0.008,4227,1.498,WX11D69LZC7J
0.629,-0.002,4077.6,1.493,WX11D69LZJSS
0.602,-0.001,3994.7,1.494,WX11D69LZSSR
0.742,-0.005,4259.2,1.496,WX11D69LZE8C
0.722,-0.001,4235.4,1.488,WX11D69LZFKL
0.811,-0.006,4327,1.491,WX11D69LZ5AH
0.603,-0.003,3992,1.498,WX21D69DLT7Z
1.412,0,4353.4,1.494,WX21D69DLEYJ
0.669,-0.003,4159,1.494,WX21D69DLTSY
0.593,-0.003,4015.8,1.495,WX21D69DL1UJ
0.646,0,4113.2,1.496,WX21D69DLC5N
0.913,0,4151,1.494,WX21D69DLKH2
0.573,0,4000.9,1.498,WX21D69DLR45
0.753,0,4284.1,1.493,WX21D69DLKN9
0.678,0,4159.6,1.494,WX21D69DLDAH
0.701,0,4222.6,1.493,WX21D69DL7YH
0.699,0,4189,1.496,WX21D69DLX51
1.407,0,4310,1.498,WX21D69DL3X8
0.683,0,4187.2,1.496,WX21D69DLKJH
1.385,0,4339.3,1.494,WX21D69DL48F
0.756,0,4290.4,1.495,WX21D69DLCT6
0.6,0,4032.7,1.498,WX21D69DLL5K
0.745,0,4246.1,1.494,WX21D69DL10F
1.003,0,4295.5,1.494,WX21D69DL7A3
0.698,0,4207.7,1.495,WX21D69DLDC3
0.702,0,4198.5,1.494,WX21D69DLKY7
0.714,0,4215.2,1.492,WX21D69DL6R7
0.664,0,4104.2,1.493,WX21D69DLS41
0.905,0,4223.1,1.498,WX21D69DLJNF
0.68,-0.005,4181.7,1.498,WX21D69DL8CD
0.863,0,4141.4,1.495,WX21D69DLKRP
0.944,-0.005,3925.4,1.494,WX21D69DLKNE
0.605,-0.006,3985.4,1.498,WX21D69DLNJX
0.698,-0.001,4221,1.494,WX21D69DL0F2
0.561,0,3938.7,1.49,WX21D69DLLLA
0.639,0,4118.8,1.495,WX21D69DLD6Z
0.59,-0.002,4040.1,1.493,WX21D69DL6P8
0.589,0,4062.9,1.495,WX21D69DL9DX
1.39,-0.003,4314.4,1.493,WX21D69DLU5C
0.593,-0.002,3989.9,1.494,WX21D69DL8SP
0.641,-0.003,4081.6,1.499,WX21D69DLH3Z
1.391,0,4333.3,1.491,WX21D69DLUHA
0.678,0,4128.8,1.493,WX21D69DLF50
1.393,0,4319.5,1.493,WX21D69DLFUV
0.587,0,4040.6,1.496,WX21D69DLAJ4
0.845,0,4091.8,1.493,WX21D69DLD97
0.753,0,4246,1.498,WX21D69DLU6A
0.726,0,4278.2,1.496,WX21D69DLNE5
0.608,-0.001,4046.6,1.495,WX21D69DL6PD
0.612,0,4083.3,1.49,WX21D69DL826
0.678,-0.002,4221.2,1.49,WX21D69DLR08
0.626,-0.001,4091.2,1.496,WX11D69LZJE2
0.652,0,4102.3,1.499,WX21D69DL7XZ
0.572,-0.003,3963.8,1.493,WX21D69DL9P2
0.734,-0.004,4261.7,1.496,WX21D69DL1FN
0.628,-0.002,4066.8,1.498,WX11D69LZ3AZ
0.645,-0.002,4142.4,1.492,WX21D69DLY2K
0.611,0,4032.4,1.493,WX11D69LZZ9N
0.743,-0.002,4251.8,1.495,WX11D69LZZUP
0.736,-0.001,4254.7,1.493,WX11D69LZVXK
0.729,0,4246.1,1.493,WX11D69LZUZ6
0.733,-0.005,4250.6,1.492,WX11D69LZLH6
0.754,-0.002,4255.4,1.493,WX11D69LZ6LZ
0.638,0,4097.8,1.495,WX11D69LZ6U2
0.646,-0.002,4100.9,1.491,WX11D69LZ2H5
0.737,-0.001,4243,1.498,WX31D79JCLSX
0.765,-0.002,4300.6,1.496,WX31D79JCXU7
0.607,-0.001,4043,1.499,WX31D79JC701
0.801,0,4327.1,1.496,WX31D79JCTZP
0.729,0,4225.4,1.493,WX31D79JCF9Y
0.665,-0.001,4126.3,1.491,WX31D79JCCS4
0.714,0,4199.6,1.493,WX31D79JCRRK
0.699,-0.001,4171.9,1.495,WX31D79JC38Z
0.637,-0.001,4079.3,1.492,WX21D69DL6TC
0.67,-0.001,4116.9,1.5,WX11D69LZ479
0.681,0,4178.5,1.495,WX21D69DL9NU
0.804,-0.001,4386.1,1.493,WX11D69LZ137
0.685,-0.001,4197.3,1.495,WX31D79JCXH1
0.623,-0.001,3988.2,1.494,WX11D69LZ6CC
0.754,-0.006,4264.2,1.496,WX11D69LZ24L
0.702,-0.001,4155.1,1.494,WX11D69LZ6T4
0.724,0.001,4241.4,1.496,WX11D69LZPHX
0.649,-0.002,4094.4,1.498,WX11D69LZ6J0
0.71,0,4241.9,1.496,WX11D69LZJ82
0.786,-0.001,4350,1.493,WX11D69LZ78H
0.712,-0.001,4198.3,1.496,WX11D69LZF2P
0.786,-0.001,4309.6,1.496,WX31D79JCXUV
0.627,-0.001,4034.4,1.495,WX31D79JC7H7
0.636,0,4056.2,1.498,WX31D79JC5J1
0.739,0,4250.6,1.493,WX31D79JCJD9
0.683,-0.001,4132.8,1.49,WX31D79JCC3R
0.697,0,4151.8,1.496,WX21D690LRXJ
0.7,0,4130.8,1.495,WX31D79JCSUS
0.775,-0.004,4297.5,1.492,WX11D69LZF6D
0.685,0,4159.9,1.491,WX21D690L1PA
0.629,-0.001,4054.3,1.494,WX21D690LRKK
0.661,0,4075.4,1.493,WX31D79JCAFS
0.721,0,4272.3,1.498,WX31D79JCXT0
0.642,0,4044.8,1.498,WX31D79JC7UK
0.617,0,4018.5,1.491,WX31D79JCUJC
0.632,0,4018.7,1.493,WX11D69LZCJ7
0.714,0,4188.5,1.489,WX11D69LZCHU
0.748,-0.001,4271.6,1.493,WX11D69LZ3TT
0.697,0,4116.9,1.495,WX11D69LZ9PE
0.668,0,4095.5,1.494,WX11D69LZ62V
0.632,0,4074.7,1.494,WX11D69LZXJC
0.632,-0.006,4053,1.499,WX11D69LZ363
0.617,-0.001,3990.1,1.491,WX11D69LZVE7
0.74,-0.004,4216.3,1.499,WX11D69LZ8DT
0.607,-0.001,4039.4,1.489,WX11D69LZ7N0
0.684,-0.006,4166.9,1.498,WX31D79JCCH1
0.69,-0.001,4176.4,1.493,WX31D79JC580
0.682,-0.002,4150.9,1.495,WX31D79JCT05
0.647,-0.002,4150,1.495,WX31D79JC4H7
0.792,-0.001,4312,1.494,WX31D79JC33L
0.736,-0.002,4273,1.496,WX31D79JCF8L
0.674,-0.001,4131.4,1.496,WX31D79JCTRU
0.665,-0.005,4123.2,1.491,WX31D79JCKLH
0.688,-0.002,4117.4,1.495,WX31D79JC9RK
0.736,0,4230.1,1.495,WX31D79JC6EK
0.752,-0.002,4265.6,1.493,WX31D79JCZYR
0.743,-0.002,4246.4,1.495,WX31D79JCNN6
0.658,-0.001,4078.3,1.498,WX31D79JCNLK
0.746,-0.001,4246.3,1.496,WX31D79JCR0A
0.66,-0.001,4080.6,1.493,WX31D79JC2T8
0.801,-0.006,4334.4,1.498,WX31D79JCJ0C
0.805,-0.002,4326,1.494,WX31D79JC0L1
0.678,-0.001,4125.6,1.499,WX31D79JCYZ3
0.633,0.001,4096.8,1.495,WX31D79JCC7D
0.734,-0.009,4215.3,1.492,WX31D79JCKK8
0.718,-0.002,4179,1.494,WX31D79JC38X
0.702,-0.001,4209.3,1.492,WX31D79JCZ48
0.589,-0.002,3998.5,1.495,WX21D69DL588
0.672,-0.001,4170.2,1.493,WX21D69DL6UT
0.659,-0.002,4126.8,1.496,WX11D69LZ53D
0.815,-0.001,4326.3,1.495,WX31D79JC5N2
0.784,-0.002,4274.2,1.494,WX21D69DL9LA
0.781,-0.002,4307.4,1.496,WX31D79JCVV9
0.732,-0.001,4214.7,1.494,WX11D69LZ04R
1.514,-0.003,4359.1,1.491,WX11D69LZRDF
0.762,-0.002,4275.3,1.498,WX11D69LZCYP
0.799,-0.001,4350.2,1.493,WX11D69LZ06K
0.723,-0.002,4162.1,1.496,WX11D69LZT3F
0.75,0,4252.9,1.493,WX11D69LZ183
0.724,0,4224.8,1.495,WX11D69LZCUD
0.624,0,4022.4,1.495,WX31D79JC95D
0.802,-0.006,4315.6,1.494,WX31D79JCT3R
0.627,-0.001,4065.3,1.493,WX11D69LZ7F4
1.461,0,4354.5,1.499,WX21D690LR6E
0.827,0,4346.9,1.498,WX31D79JC2X8
0.634,0,4054.4,1.493,WX21D690LDHD
0.631,-0.003,4066.3,1.493,WX21D690LH4N
0.645,0,4046.9,1.495,WX31D79JC9N1
0.66,0,4036.8,1.493,WX31D79JCZE8
0.776,-0.002,4267.8,1.498,WX31D79JC1SD
0.65,0,4074.5,1.494,WX31D79JCLKE
0.659,0,4110.7,1.493,WX31D79JCK33
0.823,-0.002,4371.1,1.495,WX11D69LZ2FV
0.628,-0.001,4026.7,1.493,WX31D79JC6EJ
0.712,-0.001,4218.7,1.495,WX31D79JCKR4
0.802,-0.001,4360,1.492,WX31D79JCT9H
0.694,-0.002,4159.7,1.5,WX31D79JCR1Z
0.619,-0.001,4026.1,1.498,WX31D79JCTX2
0.592,-0.004,3992.2,1.498,WX21D69DLC96
0.903,-0.006,4122,1.493,WX21D69DLFDF
0.75,-0.004,4255.7,1.493,WX31D79JCP50
0.798,-0.001,4328.3,1.492,WX31D79JCZKC
0.751,-0.001,4276.3,1.498,WX31D79JCCHK
0.733,-0.002,4202.9,1.493,WX31D79JC93R
0.814,-0.001,4339.4,1.495,WX31D79JCT8U
0.697,-0.002,4167,1.495,WX31D79JCVAV
0.765,0,4312.5,1.493,WX31D79JC8T0
0.709,0,4194.5,1.495,WX31D79JCT6S
0.641,0,4077.3,1.493,WX31D79JCDCU
0.664,0,4039.6,1.493,WX31D79JCCF4
0.667,-0.003,4114.1,1.491,WX31D79JC44Z
0.766,0,4285,1.488,WX31D79JC8AY
0.626,0,4002,1.498,WX11D69LZD3F
0.725,0,4202.5,1.49,WX11D69LZ27H
0.737,0,4186.1,1.491,WX11D69LZJA2
0.738,0,4203.5,1.494,WX11D69LZ38E
0.702,0,4145.1,1.492,WX11D69LZ4T7
0.669,0,4078.2,1.494,WX11D69LZ63S
0.771,0,4279.6,1.496,WX11D69LZFPS
0.622,0,4044.6,1.494,WX11D69LZS2Z
0.671,0,4136.7,1.496,WX11D69LZ0VE
0.65,0,4102.9,1.496,WX21D69DLSZA
0.74,0,4258.7,1.498,WX21D69DLF7F
0.598,0,3971.3,1.495,WX21D69DL74C
1.403,-0.001,4322.8,1.493,WX21D69DLK23
0.744,0,4257.6,1.498,WX21D69DLHER
0.679,0,4152,1.496,WX21D69DL4N0
0.651,0,4103.1,1.496,WX21D69DLAPR
0.649,0,4094.3,1.498,WX21D69DLYZD
0.584,0,3949,1.492,WX21D69DLVS5
0.587,-0.007,3975.5,1.493,WX21D69DL2JU
0.66,-0.004,4113.4,1.494,WX21D69DLDXV
0.597,-0.001,3981.5,1.495,WX21D69DLY0A
0.652,0,4061.3,1.495,WX21D69DLHZ1
0.592,0.001,3978.6,1.49,WX21D69DL6EE
1.392,0,4328.4,1.493,WX21D69DL0TE
0.712,0,4247.4,1.493,WX21D69DL3HA
0.687,0,4130.9,1.494,WX31D79JCC8N
0.753,0,4226.8,1.495,WX31D79JCCE9
0.791,0,4342.1,1.49,WX31D79JCEJH
0.827,0,4367.2,1.493,WX31D79JC9A2
0.618,0,3984.8,1.491,WX31D79JCCJ0
0.754,0,4291.6,1.492,WX31D79JC12J
0.76,0,4283.4,1.493,WX31D79JCRE7
0.947,0,4105.1,1.491,WX31D79JC3ZS
0.793,0,4305.9,1.498,WX31D79JC19Z
0.757,0,4271.8,1.495,WX31D79JC8NN
0.781,-0.001,4274.8,1.491,WX31D79JC02J
0.707,-0.002,4167.7,1.491,WX31D79JCKZZ
0.64,0,4031.7,1.494,WX31D79JCZ4T
0.704,-0.001,4151.7,1.494,WX31D79JCKPA
0.742,-0.001,4227.5,1.495,WX31D79JC62Y
0.761,0,4280.8,1.493,WX31D79JCSN7
0.686,-0.002,4137.5,1.495,WX31D79JC495
1.013,0,4039.7,1.495,WX31D79JCR6U
0.898,0,4150.7,1.493,WX21D69DL7PX
0.712,-0.005,4224.8,1.496,WX21D69DL04R
0.717,0,4243.6,1.494,WX21D69DLR2Z
0.759,0.001,4296.9,1.495,WX21D69DL0ZC
0.726,0,4244.4,1.493,WX21D69DL2VC
0.624,0,4010.5,1.495,WX21D69DLRSN
1.414,0.001,4336.6,1.491,WX21D69DL8H1
1.427,-0.001,4391.4,1.496,WX21D69DLKDS
0.708,0,4206,1.494,WX21D690L1AU
0.938,0,4208.5,1.496,WX31D79JCY86
0.62,0,4030.9,1.495,WX21D69DLDN8
0.708,0,4212.9,1.495,WX21D69DLYE0
1.003,0,4118.4,1.496,WX21D69DL8JL
0.63,0,4067.1,1.492,WX31D79JC3KF
0.608,0,4018.2,1.493,WX31D79JC9UR
0.787,0,4350.6,1.493,WX31D79JCH2T
0.731,0,4249.4,1.493,WX31D79JCKJA
0.65,0,4039.3,1.493,WX31D79JCT65
0.709,-0.004,4231,1.493,WX31D79JCNUX
0.849,-0.001,4416.7,1.496,WX31D79JCA2U
0.652,-0.002,4061,1.494,WX31D79JC6YC
0.771,-0.002,4310.8,1.494,WX31D79JC4H4
0.708,-0.002,4180.9,1.496,WX21D69DLX6Y
0.66,-0.001,4159.7,1.493,WX21D69DLN7E
0.623,0,4016,1.491,WX21D69DLY08
0.617,-0.001,4079.4,1.493,WX21D69DL32A
0.629,-0.001,4050.6,1.493,WX21D69DL47N
0.708,-0.002,4243.6,1.494,WX21D69DLXAY
0.604,-0.003,4022.4,1.493,WX21D69DLF4T
0.666,0,4117.6,1.495,WX21D69DLP9J
0.701,0,4197.4,1.492,WX21D69DL3K9
0.67,-0.002,4135.3,1.498,WX31D79JCCTX
0.704,-0.002,4207.6,1.495,WX31D79JCH1H
0.788,-0.005,4297.1,1.498,WX11D69LZV05
0.727,-0.002,4203.7,1.495,WX21D69DLAL9
1.031,0,4265.8,1.496,WX31D79JC914
0.705,-0.003,4157.1,1.494,WX21D69DLZXA
0.678,-0.001,4182.5,1.491,WX21D69DL03A
0.573,-0.001,4001.3,1.493,WX21D69DLRUK
0.691,-0.005,4163.1,1.498,WX31D79JCY52
0.661,-0.004,4115.3,1.492,WX21D69DLS67
0.912,-0.002,4146.4,1.498,WX11D69LZRDF
0.681,-0.003,4179.6,1.493,WX21D69DLSH1
0.688,-0.001,4159,1.493,WX21D69DLHHJ
0.6,0,4037.9,1.493,WX21D69DL02N
0.631,0,4057.9,1.496,WX21D69DL0U7
0.641,0,4001.7,1.495,WX31D79JC36P
0.676,-0.007,4121.2,1.491,WX21D69DLR1C
0.702,0,4216.8,1.495,WX21D69DLUP8
0.725,0,4254.5,1.493,WX21D69DLXH8
0.63,0,4024.4,1.489,WX21D69DLJJ0
0.713,-0.001,4216.3,1.493,WX21D69DL5DV
0.712,-0.004,4223,1.494,WX21D69DL9JD
0.686,0,4155,1.498,WX21D69DL06F
0.686,0,4126.8,1.493,WX31D79JCAP9
0.686,0,4127.4,1.494,WX31D79JC5JD
0.693,0,4133.9,1.495,WX31D79JCUZU
0.694,-0.006,4116.7,1.498,WX31D79JCT2H
0.733,-0.001,4202.3,1.495,WX31D79JCEN9
0.831,-0.002,4357.4,1.495,WX31D79JCDSX
0.698,0,4149,1.498,WX31D79JCVNZ
0.727,-0.003,4070,1.494,WX31D79JCP2N
0.811,-0.003,4308.1,1.494,WX31D79JCP8U
0.777,-0.002,4286.3,1.493,WX31D79JCZ34
0.625,-0.002,4028.8,1.496,WX31D79JC2E2
0.881,-0.004,4076.7,1.498,WX31D79JCSPS
0.644,0,4033.9,1.494,WX31D79JC92S
0.654,0,4112.7,1.496,WX21D69DLR60
0.608,0,4038.7,1.493,WX31D79JCUJ0
0.641,-0.003,4051,1.495,WX21D69DL45N
0.618,0.001,4045.9,1.491,WX31D79JCSRP
0.608,0,4020,1.492,WX31D79JCYXC
0.707,-0.003,4141.8,1.494,WX31D79JCCT3
0.638,0,4073.2,1.494,WX21D69DL4XS
0.808,0,4359.9,1.495,WX31D79JCRDD
0.612,0,3995.4,1.496,WX31D79JCD06
0.678,-0.002,4114,1.495,WX31D79JCTZE
0.718,0,4160,1.494,WX31D79JC1FF
0.682,0,4072.3,1.494,WX31D79JC6Z5
0.606,-0.001,3956.1,1.493,WX31D79JCL2J
0.686,0,4149,1.491,WX31D79JCE94
0.639,0,4044.1,1.493,WX31D79JC0J1
0.694,0,4148.6,1.493,WX31D79JCLUL
0.652,0,4064.3,1.492,WX31D79JCPRT
0.624,-0.001,4000.3,1.499,WX31D79JC19X
0.797,-0.007,4319.7,1.5,WX31D79JC9DA
0.655,-0.001,4101.9,1.495,WX31D79JCXT8
0.666,0,4118.8,1.494,WX31D79JC7T3
0.623,-0.002,3997.3,1.489,WX31D79JCVST
0.708,0,4182.4,1.493,WX31D79JC02T
0.819,0,4330,1.492,WX31D79JCRTD
0.785,-0.002,4321.7,1.496,WX31D79JCP3V
0.677,-0.004,4125.6,1.495,WX31D79JC0AA
0.714,-0.006,4214.2,1.492,WX31D79JCFVF
0.632,-0.002,4071.1,1.493,WX31D79JCFHA
0.784,-0.001,4342.2,1.492,WX31D79JC9FT
0.775,0,4321.1,1.488,WX31D79JCYR9
0.658,0,4125.6,1.494,WX31D79JCVL7
0.746,-0.002,4226.4,1.496,WX31D79JCLVJ
0.903,0,4009.4,1.496,WX31D79JC8DR
0.645,-0.009,4031.4,1.494,WX31D79JCPSV
0.668,0,4108.3,1.493,WX31D79JC2T3
0.785,0,4310.8,1.491,WX31D79JC4EC
0.743,0,4232.3,1.495,WX31D79JCLH9
0.696,-0.002,4130.4,1.496,WX31D79JCTKH
0.683,-0.002,4115,1.495,WX31D79JC23F
0.644,-0.003,4039.6,1.495,WX31D79JC9Y7
0.741,0,4257.6,1.495,WX31D79JC21H
0.789,0,4351.3,1.494,WX31D79JC7HL
0.714,0,4191.2,1.493,WX31D79JC4TF
0.749,0,4275.3,1.495,WX31D79JC082
0.636,0,4024.7,1.493,WX31D79JCJZE
0.692,0,4097.6,1.495,WX31D79JCDRF
0.685,-0.001,4125.6,1.495,WX31D79JC2S0
0.812,0,4384.6,1.493,WX31D79JCHUE
0.773,0,4243.3,1.494,WX31D79JCE5Y
0.749,0,4281.9,1.496,WX31D79JCU73
0.862,0,4056,1.493,WX31D79JCHZK
0.639,-0.002,4055,1.495,WX31D79JCE2Z
0.812,-0.001,4327,1.494,WX31D79JCEXL
0.922,-0.001,4127,1.492,WX31D79JCLN5
0.794,-0.002,4323.5,1.495,WX31D79JCHCZ
0.791,0,4314.7,1.492,WX31D79JCTR4
0.809,0,4366.7,1.488,WX31D79JC4LZ
0.81,0,4349.5,1.492,WX31D79JC754
0.647,0.001,4072.2,1.492,WX31D79JCTS2
0.662,-0.002,4102.5,1.493,WX31D79JCXKN
0.748,-0.007,4245.8,1.496,WX31D79JCP9U
0.801,-0.003,4317.2,1.492,WX31D79JC1E6
0.645,-0.001,4125.3,1.494,WX31D79JCL6U
0.772,-0.006,4280.6,1.498,WX31D79JC062
0.794,0,4314.8,1.494,WX31D79JC0A6
0.64,0,4055,1.499,WX31D79JCERT
0.721,0.001,4207.9,1.492,WX31D79JCXRL
0.682,0,4164.5,1.496,WX31D79JC7UH
0.661,-0.006,4094.1,1.493,WX31D79JC62D
0.717,-0.001,4174.3,1.496,WX31D79JCTXE
0.672,-0.002,4149,1.498,WX31D79JCN55
0.666,0,4133.2,1.494,WX31D79JCY9V
0.651,-0.001,4058.7,1.494,WX31D79JCHS0
0.679,-0.003,4090.8,1.495,WX31D79JC72H
0.761,0,4267.3,1.498,WX31D79JCN53
0.672,0,4101.7,1.495,WX31D79JCP4K
0.747,0,4222.7,1.492,WX31D79JCTD0
0.814,-0.001,4334.1,1.489,WX31D79JCH33
0.978,0.001,4177.7,1.491,WX31D79JCJL8
0.637,-0.003,4059.9,1.498,WX31D79JCKJ2
0.682,-0.007,4113.3,1.494,WX31D79JCE6F
0.719,-0.002,4213.6,1.494,WX31D79JCV00
0.784,0,4339.4,1.495,WX31D79JC526
0.667,0,4074.8,1.498,WX31D79JC56L
0.765,-0.002,4269.8,1.495,WX31D79JCP9D
0.752,0,4238.8,1.488,WX31D79JC6JH
0.64,-0.002,4061.3,1.495,WX31D79JCN16
0.707,-0.005,4197.2,1.495,WX31D79JC1X2
0.692,-0.001,4103.2,1.496,WX31D79JCTRH
0.701,-0.001,4201.8,1.498,WX31D79JCCXX
0.706,-0.005,4131.7,1.496,WX31D79JCT08
0.707,0,4223.7,1.493,WX31D79JCPY2
0.735,-0.002,4244.2,1.493,WX31D79JCCN6
0.831,-0.001,4387.2,1.492,WX31D79JC888
0.73,-0.002,4229.2,1.492,WX31D79JCYVJ
0.795,0,4338.4,1.489,WX31D79JCKFV
0.796,0,4300.5,1.493,WX31D79JCUE6
0.716,-0.001,4241.8,1.498,WX31D79JC91N
0.798,-0.001,4317.9,1.496,WX31D79JCAZK
0.61,-0.001,3979.6,1.495,WX31D79JC93K
0.69,-0.005,4103.2,1.493,WX31D79JC7HR
0.772,0.001,4302.3,1.493,WX31D79JC6J5
0.71,0.001,4158.2,1.493,WX31D79JC57C
0.791,-0.003,4295.8,1.493,WX31D79JC6LP
0.781,-0.002,4321.6,1.493,WX31D79JCCYA
0.79,-0.002,4336.4,1.493,WX31D79JC30X
0.732,-0.002,4150.9,1.495,WX31D79JCCHF
0.791,0,4314.4,1.499,WX31D79JCPDH
0.765,0.001,4255,1.489,WX31D79JC0DS
0.683,0.001,4106.6,1.494,WX31D79JC3T3
0.725,0.001,4155.9,1.496,WX31D79JCA3S
1.002,0.001,4347.6,1.494,WX31D79JCSA6
0.7,0,4166.4,1.492,WX31D79JCV8V
0.735,-0.001,4179.4,1.491,WX31D79JCF3T
0.618,0,4038.4,1.498,WX31D79JC9SS
0.813,0.001,4333.3,1.489,WX31D79JCDAY
0.738,0.001,4256.1,1.493,WX31D79JCJ81
0.676,0.001,4134.1,1.5,WX31D79JC1T9
0.629,-0.001,4012.6,1.493,WX31D79JCHJ9
0.993,-0.001,4328,1.494,WX31D79JCPY6
0.76,0,4263.4,1.492,WX31D79JCPP9
0.72,0,4223.2,1.495,WX31D79JC8DZ
0.631,0,4052,1.496,WX31D79JCA9K
0.643,-0.005,4076.5,1.498,WX31D79JCR4L
0.795,-0.001,4326.6,1.488,WX31D79JCVUF
0.714,0,4191.7,1.495,WX31D79JCRL5
0.649,0,4046.2,1.494,WX31D79JCZ0E
0.687,0,4147.9,1.494,WX31D79JCCAH
0.811,0,4339,1.498,WX31D79JC464
0.707,0.002,4191.7,1.494,WX31D79JC70Y
0.802,0.001,4352.9,1.491,WX31D79JC7EY
0.814,0,4359.2,1.498,WX31D79JCKJ5
0.779,0,4320.1,1.5,WX31D79JC6HD
0.679,0.001,4112.6,1.496,WX31D79JC6VA
0.625,-0.001,4032.1,1.496,WX31D79JC0NR
0.646,-0.004,4054.2,1.49,WX31D79JCZRP
0.697,-0.001,4143.6,1.5,WX31D79JCE5H
0.692,0.001,4112.2,1.496,WX31D79JCY8X
0.776,-0.001,4314.1,1.496,WX31D79JCN67
0.764,0,4264.9,1.498,WX31D79JCLPS
0.969,0,4100.3,1.498,WX31D79JCAD5
0.679,-0.001,4124.2,1.495,WX31D79JC7TS
0.662,0.002,4065.4,1.494,WX31D79JCTST
0.671,-0.002,4059.3,1.492,WX31D79JC279
0.712,-0.004,4158.6,1.491,WX31D79JC65R
0.842,-0.001,4340.4,1.494,WX31D79JCALJ
0.67,-0.001,4083.8,1.498,WX31D79JCYPD
0.789,0,4323.7,1.493,WX31D79JC34T
0.666,0.001,4067.1,1.49,WX31D79JCXYT
0.706,0.002,4125.7,1.495,WX31D79JCU61
0.779,-0.001,4283.3,1.495,WX31D79JCK6K
0.752,-0.001,4266.6,1.498,WX31D79JCJ9K
0.777,0,4266.4,1.498,WX31D79JCFYU
0.8,0.001,4315.4,1.496,WX31D79JC7JD
0.753,0,4227.2,1.494,WX31D79JCDJ9
0.64,0.001,4055.6,1.492,WX31D79JC3UX
0.638,0,4045.5,1.494,WX31D79JCKNE
0.669,0,4145.3,1.496,WX31D79JCYE9
0.76,0.001,4323.6,1.493,WX21D69DL6YY
0.646,0.002,4076.1,1.493,WX11D69LZJ80
0.664,0.002,4127.8,1.498,WX11D69LZ32T
0.733,0.001,4216.5,1.494,WX11D69LZJ6E
1.521,0,4359.5,1.494,WX11D69LZ5TD
0.673,0,4076.8,1.493,WX11D69LZFKS
0.811,0.001,4351.5,1.495,WX11D69LZXC7
0.755,0.001,4230.7,1.489,WX11D69LZ00R
0.82,0,4359.9,1.498,WX11D69LZALH
0.67,0.002,4142,1.493,WX31D79JC998
0.608,0.002,4013.7,1.493,WX31D79JC183
0.671,-0.002,4106.2,1.494,WX31D79JC9F3
0.693,0.001,4144.3,1.496,WX31D79JCNN7
0.661,0,4090.1,1.496,WX31D79JCCKA
0.79,0,4304.8,1.494,WX31D79JC5V1
0.874,0,4029.1,1.495,WX31D79JCCJH
0.777,0.001,4279.3,1.494,WX31D79JC9HY
0.649,0,4047.9,1.498,WX31D79JC2PK
0.738,0,4211.6,1.496,WX31D79JCDCE
0.788,0.001,4306.1,1.493,WX31D79JC19N
0.742,0,4210.3,1.495,WX31D79JC7VZ
0.654,0,4072.2,1.49,WX31D79JCKDN
0.63,-0.005,4042.2,1.495,WX31D79JC4C5
0.613,0.002,4013.5,1.498,WX31D79JCENT
