ENCODERREADING,PICK_ENCODERREADING,ANGLE,TORQUE,Message
0.674,0,4158,1.493,WX21D696ZX7C
0.649,-0.002,4077.6,1.493,WX21D696ZCKK
0.727,0,4227.2,1.494,WX11D690N2Y4
0.6,0,3980.4,1.493,WX11D690NYE0
0.574,0,3968.5,1.491,WX11D690NLDP
0.723,0,4226.7,1.499,WX11D690NY34
0.698,0,4211,1.498,WX11D690NV4D
0.691,0,4210.8,1.499,WX11D690NR2F
0.685,0,4155.5,1.496,WX11D690NJ6C
0.583,-0.003,3966.8,1.49,WX11D690N7S8
0.695,-0.001,4184.6,1.491,WX11D690NTD7
0.758,0,4308,1.494,WX11D690N88Y
0.7,0,4188.1,1.494,WX21D696Z632
0.594,-0.006,4002.4,1.494,WX21D696Z18S
0.584,-0.003,3985.4,1.498,WX21D696ZUXU
0.699,0,4181.9,1.498,WX21D696Z7YC
0.734,0,4271.3,1.498,WX21D696Z6EA
0.629,0,4065.2,1.492,WX21D696ZE8T
0.704,-0.007,4234.2,1.491,WX21D696Z902
0.91,0,4167.2,1.491,WX21D696ZR20
0.699,-0.002,4183.6,1.493,WX21D696ZKS5
1.356,0,4302.1,1.495,WX11D69LJPJ3
0.679,0,4164.2,1.495,WX11D690NH71
0.644,0,4087.5,1.495,WX11D690NCV5
0.625,0,4052.6,1.498,WX21D696ZESE
0.602,0,4015.3,1.494,WX11D690NEU8
0.617,0,4029.3,1.496,WX11D690ND2N
1.381,0,4321.8,1.498,WX11D690N0C4
0.614,-0.001,4017.1,1.492,WX21D696Z521
0.759,-0.008,4273.6,1.495,WX11D690NTXN
0.722,-0.002,4264.2,1.498,WX11D690N537
0.604,0,4025.5,1.495,WX11D690N9F6
0.606,0,4042.5,1.492,WX11D690N8HS
0.633,0,4129.5,1.494,WX11D690N3C7
0.602,0,4010.4,1.492,WX11D690NLYS
0.621,-0.002,4041.4,1.498,WX11D690N1PA
0.68,0,4163.8,1.498,WX11D690NYH9
0.604,0,4038.8,1.492,WX11D690NR1T
0.683,-0.001,4212.6,1.495,WX11D690NXYT
0.666,-0.001,4146.2,1.492,WX11D690NPCK
0.701,-0.003,4213.4,1.496,WX11D690NT1J
0.592,-0.001,3981.4,1.493,WX11D690NNTA
0.73,-0.001,4214,1.494,WX11D690ND5K
0.624,-0.002,4030.9,1.494,WX11D690N42K
0.733,-0.002,4273.7,1.493,WX11D690N795
0.643,-0.001,4125.5,1.492,WX11D690N7R7
0.645,-0.002,4072.8,1.494,WX11D690NFC6
0.592,-0.002,3984.7,1.493,WX11D690N650
0.596,0,3999.2,1.493,WX11D690N93S
0.612,0,4032.2,1.495,WX11D690N26J
1.381,0,4316.8,1.496,WX11D690N0F1
0.636,0,4097.8,1.492,WX11D690NJNN
0.571,0,3991.2,1.495,WX11D690NFV2
0.695,0,4208,1.492,WX11D690NPTS
0.594,0,4007.4,1.495,WX11D690N83S
0.766,0,4341.2,1.493,WX11D690NXP9
0.683,0,4175.5,1.493,WX11D690NUUT
0.589,0,3994,1.495,WX11D690NRD3
0.6,0,3998.7,1.493,WX11D690NH76
0.676,0,4146.8,1.498,WX11D690NTHP
0.623,0,4075.7,1.498,WX11D690NYS1
0.701,0,4214.3,1.493,WX11D690N8JF
1.395,0,4317.5,1.495,WX11D690N68E
0.654,0,4085.3,1.492,WX11D690NR1N
0.595,0,4003.4,1.493,WX11D690NDY9
0.621,0,4055.3,1.491,WX11D690NVTU
0.761,0,4291.1,1.493,WX11D690NEF9
0.733,0,4290.8,1.495,WX21D696ZK50
0.605,0,3978.7,1.495,WX21D696ZH5F
0.739,0,4276.3,1.492,WX21D696Z74J
0.599,0,3987.5,1.495,WX21D696ZKHN
0.65,-0.002,4092.4,1.496,WX21D696ZXNV
0.653,-0.003,4068.3,1.493,WX21D696ZXNC
0.634,0,4104.6,1.49,WX11D690NFJA
0.593,0,3986.1,1.496,WX11D690N99H
0.686,0,4169.6,1.488,WX11D690N4U4
0.661,0,4131,1.488,WX11D690NEKP
0.627,-0.002,4080.3,1.493,WX11D690N27T
0.667,0,4143.4,1.495,WX11D690N2V7
0.663,-0.009,4123.3,1.493,WX11D690NS2U
0,0,0,0,WX11D690NX2N
0.702,-0.001,4186.6,1.494,WX11D690N509
